date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:04	126/126	---M-Z	200	added ('OK')	text/plain	date:Fri,%2015%20Dec%202023%2020:34:04%20GMT	https://pharaohsoft.com/robots.txt		(from )
22:34:05	80914/80914	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:04%20GMT	https://pharaohsoft.com/	work/pharaohsoft/pharaohsoft.com/index.html	(from )
22:34:05	5091/5091	---M--	200	added ('OK')	image/png	etag:%2213e3-628dffd8-b70dd5bb15d29ec9;;;%22	https://pharaohsoft.com/wp-content/themes/pharaohsoft/assets/images/favicons/favicon-96x96.png	work/pharaohsoft/pharaohsoft.com/wp-content/themes/pharaohsoft/assets/images/favicons/favicon-96x96.png	(from https://pharaohsoft.com/)
22:34:09	83566/83566	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:07%20GMT	https://pharaohsoft.com/fr/	work/pharaohsoft/pharaohsoft.com/fr/index.html	(from https://pharaohsoft.com/)
22:34:18	1137606/1137606	---M--	200	added ('OK')	image/png	etag:%22115bc6-628dffe7-84b6dbf71e31afef;;;%22	https://pharaohsoft.com/wp-content/uploads/2022/04/home.png	work/pharaohsoft/pharaohsoft.com/wp-content/uploads/2022/04/home.png	(from https://pharaohsoft.com/)
22:34:22	110035/110035	---M-Z	200	added ('OK')	text/css	etag:%221add3-654afb0e-47819baeca87e590;gz%22	https://pharaohsoft.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	work/pharaohsoft/pharaohsoft.com/wp-includes/css/dist/block-library/style.min1e39.css	(from https://pharaohsoft.com/)
22:34:23	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-64186cef-4f6180f8c9d63a43;gz%22	https://pharaohsoft.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.4	work/pharaohsoft/pharaohsoft.com/wp-content/plugins/contact-form-7/includes/css/styles4999.css	(from https://pharaohsoft.com/)
22:34:24	83326/83326	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:22%20GMT	https://pharaohsoft.com/de/	work/pharaohsoft/pharaohsoft.com/de/index.html	(from https://pharaohsoft.com/)
22:34:31	6811/6811	---M-Z	200	added ('OK')	text/css	etag:%221a9b-63bd40e9-f38d64174a2dcd9;gz%22	https://pharaohsoft.com/wp-content/plugins/add-search-to-menu/public/css/ivory-search.min.css?ver=5.5	work/pharaohsoft/pharaohsoft.com/wp-content/plugins/add-search-to-menu/public/css/ivory-search.min5156.css	(from https://pharaohsoft.com/)
22:34:31	190/190	---M--	200	added ('OK')	text/css	etag:%22be-628dffd9-de599d9dfbab492c;;;%22	https://pharaohsoft.com/wp-content/themes/pharaohsoft/style.css?ver=6.4.2	work/pharaohsoft/pharaohsoft.com/wp-content/themes/pharaohsoft/style1e39.css	(from https://pharaohsoft.com/)
22:34:33	194900/194900	---M-Z	200	added ('OK')	text/css	etag:%222f954-63987ab1-c09ab4cb528e5871;gz%22	https://pharaohsoft.com/wp-content/themes/pharaohsoft/assets/css/bootstrap.min.5.2.3.css?ver=6.4.2	work/pharaohsoft/pharaohsoft.com/wp-content/themes/pharaohsoft/assets/css/bootstrap.min.5.2.31e39.css	(from https://pharaohsoft.com/)
22:34:34	321955/321955	---M-Z	200	added ('OK')	text/css	etag:%224e9a3-63bed731-c488666c0804d512;gz%22	https://pharaohsoft.com/wp-content/themes/pharaohsoft/assets/css/style.css?ver=6.4.2	work/pharaohsoft/pharaohsoft.com/wp-content/themes/pharaohsoft/assets/css/style1e39.css	(from https://pharaohsoft.com/)
22:34:34	1519/1519	---M-Z	200	added ('OK')	text/css	etag:%225ef-62f4ee94-6f9b05e32b901c0e;gz%22	https://pharaohsoft.com/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.16	work/pharaohsoft/pharaohsoft.com/wp-content/plugins/add-to-any/addtoany.mind47c.css	(from https://pharaohsoft.com/)
22:34:35	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-654afb0e-f068d91750a79eb9;gz%22	https://pharaohsoft.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	work/pharaohsoft/pharaohsoft.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://pharaohsoft.com/)
22:34:37	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-64d30171-b905c46d9da5be7a;gz%22	https://pharaohsoft.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	work/pharaohsoft/pharaohsoft.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://pharaohsoft.com/)
22:34:37	129/129	---M--	200	added ('OK')	application/x-javascript	etag:%2281-62f4ee94-7238daaa03cc77ef;;;%22	https://pharaohsoft.com/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.1	work/pharaohsoft/pharaohsoft.com/wp-content/plugins/add-to-any/addtoany.min4963.js	(from https://pharaohsoft.com/)
22:34:38	1426/1426	---M-Z	200	added ('OK')	application/x-javascript	etag:%22592-652415a5-95e925ea1707bea5;gz%22	https://pharaohsoft.com/wp-content/plugins/wp-statistics/assets/js/tracker.js?ver=6.4.2	work/pharaohsoft/pharaohsoft.com/wp-content/plugins/wp-statistics/assets/js/tracker1e39.js	(from https://pharaohsoft.com/)
22:34:41	13622/13622	---MCZ	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:34:39%20GMT	https://pharaohsoft.com/wp-json/wp/v2/pages/14	work/pharaohsoft/pharaohsoft.com/wp-json/wp/v2/pages/14.json	(from https://pharaohsoft.com/)
22:34:41	186336/186336	---MCZ	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:34:40%20GMT	https://pharaohsoft.com/wp-json/	work/pharaohsoft/pharaohsoft.com/wp-json/index.html	(from https://pharaohsoft.com/)
22:34:41	805/805	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Dec%202023%2020:34:41%20GMT	https://pharaohsoft.com/xmlrpc.php?rsd	work/pharaohsoft/pharaohsoft.com/xmlrpc0db0.php	(from https://pharaohsoft.com/)
22:34:42	2560/2560	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:34:42%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2F	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embed0d6a.json	(from https://pharaohsoft.com/)
22:34:44	2775/2775	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Dec%202023%2020:34:43%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2F&format=xml	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embed8bea	(from https://pharaohsoft.com/)
22:34:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:34:44%20GMT	https://pharaohsoft.com/about-us	work/pharaohsoft/pharaohsoft.com/about-us	(from https://pharaohsoft.com/)
22:34:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:34:45%20GMT	https://pharaohsoft.com/contact-us	work/pharaohsoft/pharaohsoft.com/contact-us	(from https://pharaohsoft.com/)
22:34:46	56263/56263	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:46%20GMT	https://pharaohsoft.com/about-us/	work/pharaohsoft/pharaohsoft.com/about-us/index.html	(from https://pharaohsoft.com/)
22:34:46	67526/67526	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:46%20GMT	https://pharaohsoft.com/contact-us/	work/pharaohsoft/pharaohsoft.com/contact-us/index.html	(from https://pharaohsoft.com/)
22:34:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:34:46%20GMT	https://pharaohsoft.com/company-awards	work/pharaohsoft/pharaohsoft.com/company-awards.13.delayed	(from https://pharaohsoft.com/)
22:34:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:34:47%20GMT	https://pharaohsoft.com/partners	work/pharaohsoft/pharaohsoft.com/partners	(from https://pharaohsoft.com/)
22:34:48	57653/57653	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:48%20GMT	https://pharaohsoft.com/partners/	work/pharaohsoft/pharaohsoft.com/partners/index.html	(from https://pharaohsoft.com/)
22:34:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:34:48%20GMT	https://pharaohsoft.com/team	work/pharaohsoft/pharaohsoft.com/team	(from https://pharaohsoft.com/)
22:34:49	54679/54679	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:48%20GMT	https://pharaohsoft.com/company-awards/	work/pharaohsoft/pharaohsoft.com/company-awards/index.html	(from https://pharaohsoft.com/)
22:34:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:34:49%20GMT	https://pharaohsoft.com/insights	work/pharaohsoft/pharaohsoft.com/insights	(from https://pharaohsoft.com/)
22:34:50	49498/49498	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:49%20GMT	https://pharaohsoft.com/team/	work/pharaohsoft/pharaohsoft.com/team/index.html	(from https://pharaohsoft.com/)
22:34:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:34:50%20GMT	https://pharaohsoft.com/digital-transformation	work/pharaohsoft/pharaohsoft.com/digital-transformation	(from https://pharaohsoft.com/)
22:34:51	57531/57531	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:34:50%20GMT	https://pharaohsoft.com/insights/	work/pharaohsoft/pharaohsoft.com/insights/index.html	(from https://pharaohsoft.com/)
